Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,roads,dump_sites,agricultural_fields,Air Quality,Latitude,Longitude
20.8,48.5,16.0,19.7,11.2,2.5,1.17,10.2,432,25,1,0,,22.89656350459336,74.1681027236344
28.2,71.7,75.2,90.0,30.8,5.0,1.81,4.8,765,28,3,9,,23.049580936189372,82.29993548116471
32.0,69.7,95.7,110.4,36.1,20.5,2.3,6.8,673,18,2,5,,24.48360104610905,76.45170734752767
21.5,60.0,14.6,20.6,20.9,1.6,0.94,10.7,587,18,5,1,,23.544471780495726,79.93787995984907
29.6,63.1,12.8,15.9,22.0,3.8,1.16,11.0,377,38,3,7,,19.967625172158698,81.34851022712154
17.5,73.8,3.3,8.8,16.2,8.4,0.83,10.8,217,43,2,6,,21.99773248337139,83.1264968663024
33.2,49.8,1.4,23.3,23.0,25.8,2.06,6.8,730,29,2,3,,20.674441029530687,78.53216351253579
58.6,66.0,44.0,54.0,44.3,22.7,3.09,5.2,641,40,1,2,,21.11420960233047,80.98149104616346
28.1,51.8,36.0,40.3,26.4,5.4,1.15,10.8,264,33,0,1,,24.29260583297094,78.25615049004463
32.0,74.9,43.3,45.5,28.8,9.5,1.42,7.8,598,23,1,8,,24.24685128423036,79.35769565673425
25.0,63.9,9.3,10.8,15.8,4.6,0.92,10.1,490,33,3,1,,17.721550796403097,76.10963752825666
25.7,69.3,15.7,25.0,27.7,10.6,1.44,9.5,482,45,1,2,,23.583472745433852,82.02450050418983
35.1,69.2,7.9,30.3,35.3,27.6,2.07,4.9,724,29,1,6,,23.85897220216488,83.20373314375581
26.7,63.2,6.8,9.3,13.4,4.9,0.98,10.0,358,45,0,11,,21.455164429151196,83.14315493702227
20.4,44.9,4.6,9.2,20.5,5.7,1.03,10.2,545,3,2,6,,22.65020189055638,79.27407686879535
24.6,84.2,5.2,19.2,22.5,9.0,1.48,7.3,623,38,3,8,,23.629180017901213,83.18653465571522
25.9,62.8,25.8,35.6,31.2,19.0,1.48,5.3,411,30,4,6,,22.7221912642734,82.53049135849406
22.1,54.0,10.6,15.4,13.9,8.9,1.0,10.5,265,27,2,9,,16.056205394057592,76.16754978476304
34.1,97.9,54.0,76.8,31.6,16.4,2.15,6.6,513,30,3,13,,16.698321012062582,81.6547143312885
24.9,63.5,6.1,13.9,17.2,4.3,1.18,16.4,390,10,3,4,,23.40170460025207,82.58021996744357
28.0,55.2,12.4,21.2,27.7,3.7,0.99,10.6,467,27,2,6,,16.012604705024295,80.01296441688548
26.7,53.9,2.9,6.4,11.1,6.6,0.96,11.8,533,33,3,6,,17.25836676329675,77.14581914254885
30.4,101.1,28.6,42.6,39.9,4.0,2.2,6.8,639,44,0,8,,23.32925934606796,82.11203030256516
41.4,65.4,34.3,52.8,42.7,9.4,1.87,2.5,721,24,2,6,,24.50015288066389,75.96883273322625
25.5,73.4,13.8,21.4,25.7,3.8,0.95,11.0,194,21,2,3,,22.29281266148015,79.77161451152023
28.2,49.6,17.0,21.7,19.7,11.3,0.99,11.1,214,24,4,5,,17.999824037792497,83.46941312084459
36.6,75.5,32.2,41.3,32.1,9.4,1.95,4.4,543,39,2,15,,22.524446889290683,78.93173566289774
18.8,77.7,11.0,15.8,20.0,5.6,1.09,11.2,409,33,2,7,,19.94335726520499,75.49299518010356
26.3,77.5,23.1,29.5,15.1,3.7,0.92,10.4,399,24,2,0,,20.761733820710425,81.57520150175611
34.9,96.9,11.4,30.2,36.5,20.3,1.89,6.8,680,35,2,4,,21.95890903618929,74.3205866994414
23.0,50.7,1.1,5.0,24.8,2.1,1.12,12.4,593,30,1,6,,24.754772101796345,80.3650487086219
22.3,78.8,19.3,26.0,26.1,5.5,0.82,10.7,214,39,2,5,,15.837310844636473,83.53891846449129
21.4,76.9,2.3,6.7,23.4,2.8,1.09,14.7,338,22,3,5,,22.293494688519512,75.63448826044795
44.7,75.6,6.6,28.3,25.7,23.5,2.1,4.1,643,26,1,7,,23.37539015149661,75.70111262446476
22.4,73.0,12.2,15.0,26.6,3.6,0.97,12.9,266,26,3,8,,15.821858368083989,81.57243447573174
32.3,82.0,8.8,18.7,29.8,14.7,2.03,5.7,600,15,3,7,,23.826963177777603,78.06843123262198
33.5,70.8,8.1,16.3,22.0,15.9,1.63,5.1,527,32,1,9,,16.99056672121312,78.79592931665779
33.1,52.0,7.2,15.9,38.9,12.1,1.46,7.3,452,32,1,0,,17.92667278822101,76.76751244749066
25.5,48.0,15.5,19.9,18.6,7.7,1.04,10.3,503,30,4,4,,19.722735760644554,83.71348293241788
29.9,77.8,1.5,23.4,43.8,20.0,1.89,6.0,681,27,2,7,,25.373303620417428,80.47651292533493
29.3,67.5,1.9,5.0,12.1,4.5,1.12,11.0,576,15,1,7,,24.62272619781097,74.04675643316129
23.9,73.9,25.9,28.5,21.5,3.1,1.45,5.5,562,25,1,3,,16.012974683760646,76.96814554792158
23.7,40.0,20.7,23.0,20.4,6.2,1.05,12.5,318,26,0,3,,16.213677168842484,78.36299790628564
21.9,70.1,5.4,10.4,13.5,1.1,1.09,12.5,224,21,2,2,,18.57372258363374,79.68344492288061
44.9,105.8,24.5,47.4,39.9,26.7,2.36,4.0,878,28,3,9,,16.96301184403722,75.66982493214182
27.0,45.5,6.2,13.0,24.3,5.0,1.01,10.7,205,34,2,0,,18.685369511927068,80.96284354878499
49.6,87.5,81.9,87.0,40.4,18.4,2.14,2.9,631,48,1,0,,23.795860360809257,79.9755317595945
33.4,78.5,101.6,109.9,19.3,9.2,1.32,5.0,334,31,1,7,,17.432360328382018,74.25791235427008
23.5,51.6,0.0,8.3,23.5,7.4,0.92,19.7,450,32,4,8,,22.989240865314617,73.97164486640331
22.2,75.7,19.0,20.7,20.1,5.3,1.03,10.7,316,29,1,0,,18.005888916520355,81.83143001587452
35.4,51.9,48.4,53.0,21.0,10.4,1.53,6.6,628,10,1,8,,20.60397944248227,83.64278155719119
41.5,68.2,3.4,15.4,24.5,6.4,1.38,4.8,748,29,3,6,,21.845028143733174,78.13202584359203
21.0,60.5,4.6,8.9,15.1,6.8,0.93,10.2,378,30,1,8,,16.54506356704968,78.36074526205726
31.3,73.7,20.3,30.7,31.5,12.5,1.76,7.3,512,54,1,6,,22.212198168477613,80.33316318280298
46.8,91.6,240.1,261.5,40.3,37.6,2.46,3.1,879,28,3,7,,20.80501392436868,79.12298850532744
23.9,66.7,14.3,16.9,21.8,7.8,1.07,10.4,413,33,2,7,,24.701522798593007,78.24591403400628
24.6,45.1,0.4,6.4,21.2,1.7,0.94,10.1,226,29,2,7,,22.053012234168904,80.54987874129057
24.1,59.3,14.4,33.1,31.0,16.7,2.0,5.3,622,18,2,6,,22.18848668026243,81.21714011133051
41.4,82.2,73.6,89.8,35.1,13.3,2.84,4.1,620,41,2,5,,23.711405264102652,82.6626671490515
22.5,73.0,0.2,6.2,15.0,5.5,0.95,14.2,543,37,3,5,,23.058418993776854,79.67742404342356
26.7,57.9,50.0,59.6,26.3,9.4,1.68,6.3,541,37,3,6,,19.996879398071624,80.38406706371588
24.6,51.3,3.9,8.0,21.7,5.9,0.98,12.8,454,20,5,9,,16.068873279689512,81.8818365132512
32.0,70.7,8.4,11.3,24.5,6.1,1.6,8.2,382,44,1,13,,18.384660459920852,77.77306996039569
29.5,77.2,27.9,44.4,26.3,23.1,1.68,7.7,586,15,3,8,,22.479397469419293,75.89860478071445
32.5,68.3,33.2,40.1,29.0,9.5,1.52,6.5,410,35,1,7,,24.986594757254064,76.45532343746613
33.0,56.8,1.9,5.0,36.1,7.6,1.75,7.5,481,51,0,10,,24.884578220075237,77.32435624373419
30.1,86.8,7.3,22.4,27.9,6.0,1.29,6.0,690,20,2,7,,24.63507277740761,81.43985823644843
22.3,75.4,0.7,4.7,23.7,7.3,0.93,11.4,291,24,3,1,,21.449581640426636,83.60889199247539
27.4,81.5,18.9,30.4,22.6,12.8,1.55,5.1,341,30,1,3,,22.874866240409784,74.15498914230226
28.3,40.6,2.3,6.9,25.3,4.0,0.88,12.5,590,24,4,13,,20.989982971232422,75.18007426060609
30.8,68.9,2.0,11.5,23.6,13.0,1.46,7.1,638,14,1,3,,18.94426951201079,74.28481457640423
27.7,78.7,1.1,20.5,28.2,9.8,1.53,5.5,449,30,0,8,,23.41179311475559,82.37406395986268
33.3,82.6,1.2,5.6,30.1,5.9,1.32,5.9,310,19,2,2,,22.743328055767883,83.81368782313054
22.9,66.9,7.8,16.3,21.8,8.1,1.07,10.0,435,34,0,11,,15.826060715376657,75.99316685408512
29.6,78.9,9.3,19.0,31.3,11.2,1.74,6.8,714,20,4,4,,18.158072087628376,78.77354792228775
28.0,83.9,20.9,37.3,21.3,11.1,1.56,5.7,442,45,1,6,,20.90931930594759,80.43690975158151
33.4,85.5,11.7,31.7,41.7,12.4,2.03,3.0,927,22,2,5,,20.879590043077854,75.26743342735466
22.9,40.5,3.7,7.3,13.4,0.9,1.12,12.6,246,26,1,8,,19.654140817351443,83.41885668655644
23.1,59.7,13.3,25.3,22.9,14.1,1.3,6.3,598,38,1,6,,17.057428110594103,74.66535895994934
36.2,77.1,35.3,43.9,20.4,14.4,1.38,5.6,599,17,1,9,,25.206664741322676,75.55005890339179
27.6,75.9,20.3,25.9,26.6,4.9,1.11,10.8,334,32,2,8,,24.79393684867452,82.93222484425877
32.8,60.4,1.6,12.8,28.1,5.7,1.36,12.5,406,43,1,7,,20.458964578444345,81.4339538539254
21.6,71.5,1.3,6.5,23.8,4.8,0.89,13.8,384,13,2,8,,22.98315613773733,80.52332929629783
31.4,81.8,4.3,17.5,21.8,12.8,1.47,5.1,437,31,3,8,,16.26658161746242,79.63369887134819
27.4,63.0,11.0,21.1,23.2,9.6,1.27,6.6,333,32,4,4,,18.55813951335191,80.74038565172897
24.2,64.4,1.1,7.2,11.7,8.6,1.08,10.9,239,37,2,4,,16.909439072761202,76.19117925822437
47.3,88.4,104.9,127.4,44.6,21.7,2.71,8.2,648,17,2,12,,22.080376338021857,74.36688079586807
40.0,88.7,29.3,46.0,45.1,20.7,2.03,3.2,821,16,3,8,,24.408655191361397,74.9578181704865
29.2,72.1,25.5,32.3,13.3,5.7,1.08,10.9,358,35,3,7,,19.295576540655237,76.24452397164676
20.1,41.7,3.6,8.2,23.2,9.1,0.97,10.4,370,32,2,2,,19.790906368440652,79.00588099670055
42.6,94.6,17.9,30.1,44.3,4.0,1.91,2.6,525,32,3,0,,23.891490137717724,79.61918919178703
33.7,72.7,139.4,159.9,33.1,22.8,2.28,5.6,576,33,1,4,,16.69962371463989,79.55671899124273
29.0,64.0,8.6,21.6,26.6,8.1,1.53,5.0,647,23,4,4,,25.084256869606268,82.96191867978398
30.7,54.3,5.7,20.8,26.5,13.4,1.87,7.2,437,32,0,4,,19.02457175485256,80.70237714595952
37.3,90.7,33.6,43.8,35.6,19.6,2.45,3.1,754,32,5,9,,24.819698032033624,77.00440485745102
33.4,70.5,7.5,15.2,24.1,8.6,1.49,6.0,417,22,2,12,,25.240657801036036,77.83212379810095
33.7,89.4,30.0,47.3,26.5,8.1,1.41,6.0,613,48,1,10,,16.364124478570467,82.47205638075923
23.0,44.6,23.1,28.1,16.2,9.0,0.95,10.0,437,34,1,3,,19.303746738054112,78.0347384173505
28.9,80.1,8.6,19.7,31.1,10.3,1.61,8.1,562,18,1,8,,24.073102891222817,79.894823397981
33.5,97.1,10.5,24.1,26.8,16.5,2.13,5.1,686,36,2,4,,15.69097768919604,79.6780478402842
25.2,42.6,10.5,18.0,24.7,7.0,0.89,10.8,517,20,1,0,,22.796501653734456,81.11098137893762
30.2,79.7,21.1,25.3,30.6,6.5,1.63,5.9,609,37,4,5,,18.01409515616819,81.20682769369995
35.6,74.6,64.2,76.2,43.9,17.4,2.61,3.5,679,41,3,11,,18.679291286233234,83.30316016073638
32.4,64.3,58.1,74.1,14.2,9.7,1.41,5.5,489,21,0,4,,20.448561010728046,80.89555625189725
35.0,80.5,43.6,55.1,27.9,11.3,1.65,6.9,664,39,2,9,,24.85363772429774,79.18863004809651
37.3,98.6,68.4,85.3,37.5,16.9,2.34,9.0,695,34,0,3,,18.748157499139445,83.53838307513837
29.3,78.5,14.8,19.2,29.3,-0.4,1.48,8.0,451,38,0,8,,18.53319874241018,76.10421458589464
15.4,64.2,5.5,10.5,15.4,4.1,1.0,12.7,549,48,2,5,,17.02107614934641,75.28354728232362
31.0,57.1,22.1,27.2,35.5,8.1,1.54,8.5,713,27,3,12,,21.068341986680494,79.52680772798735
29.5,83.3,4.7,22.7,35.9,14.7,2.97,5.2,631,22,2,4,,20.076108252068323,82.39777933512272
21.8,61.9,27.4,31.3,23.8,7.7,0.96,10.8,340,21,2,3,,25.059110211725297,80.67749287984292
30.2,87.8,3.4,15.9,36.0,14.2,1.47,7.3,399,21,1,11,,17.304393168843944,79.0704266124751
28.0,65.1,3.5,5.2,18.7,7.9,0.9,10.7,458,29,0,3,,19.20343190822397,81.47570330773596
31.3,46.6,1.4,7.5,21.8,4.4,0.87,10.8,233,33,2,6,,18.617165696277794,78.04432604434007
22.8,83.4,28.2,42.9,42.6,9.8,1.71,4.5,818,32,3,3,,19.284794228912983,74.4555136964103
25.9,55.8,21.4,29.3,23.4,9.6,1.17,5.7,612,38,3,9,,19.47573739996544,82.33925047278375
36.2,87.2,2.4,17.5,50.9,31.5,3.04,5.1,937,30,3,11,,16.780119644668776,82.00778560691738
31.4,78.7,7.7,14.3,38.1,17.5,1.75,5.4,549,44,3,3,,20.793038201895996,80.93818012689769
34.4,86.3,28.4,50.6,34.5,42.3,2.28,3.2,685,27,0,8,,18.340982121451663,78.51470527338665
23.2,57.5,17.8,26.2,11.0,2.9,1.19,10.4,500,57,1,8,,22.772234080919993,81.95091878181016
30.5,89.7,117.0,138.7,40.6,33.9,2.22,6.4,574,36,2,6,,20.201182271160835,75.92934689325051
24.0,53.4,5.3,10.8,34.8,15.9,1.16,6.4,728,21,1,12,,15.864266265097799,81.41407265476833
32.1,73.6,39.4,54.8,39.5,6.8,2.0,4.2,493,19,4,12,,16.204042492837154,75.13837823468042
14.1,54.5,3.6,8.3,17.4,7.0,0.99,10.1,238,34,0,2,,23.20089274074363,83.67440430773642
27.6,52.0,48.9,53.6,28.7,5.1,1.65,5.6,364,27,1,10,,17.152210197769236,82.39305449395958
21.5,72.6,4.5,9.5,22.4,4.7,0.98,12.5,391,37,4,8,,22.308745818998407,83.19126217363552
31.3,101.5,33.4,52.8,28.7,18.2,1.97,7.6,488,34,1,6,,23.45486072682623,76.86172890049181
28.8,76.6,17.2,34.6,27.9,6.5,1.44,5.4,405,29,2,5,,19.53121906301981,80.80543685757615
31.1,56.4,10.7,17.0,12.9,5.1,1.07,10.0,572,21,4,0,,17.285990157020983,82.45732791045526
28.0,55.4,3.0,15.1,22.8,21.8,1.76,5.1,405,14,2,7,,17.355266487479696,74.25056143137017
38.1,69.3,6.5,23.6,41.6,16.5,1.46,6.4,806,25,3,7,,21.888640993793015,82.26983083053877
41.5,91.3,79.5,93.5,30.0,12.8,1.99,10.4,561,38,1,13,,22.352004100027056,80.40307664904726
33.1,99.2,17.6,47.1,41.1,26.4,2.45,6.8,623,32,2,3,,15.726204047183996,81.25142930347391
28.2,89.5,44.9,53.9,29.1,12.1,1.29,6.7,544,17,1,0,,23.29678706550074,82.50545756765518
33.6,81.2,20.2,30.3,30.2,10.6,1.24,6.3,714,31,3,1,,18.42656997857895,74.67914183059794
32.5,53.4,45.9,52.7,27.2,10.8,1.21,7.5,513,33,3,12,,16.153180639157785,80.6663668691168
24.5,65.2,8.3,14.3,15.0,5.4,1.0,11.2,368,21,1,4,,23.40666851114998,83.19643244908342
29.2,74.5,19.6,32.3,29.3,7.9,1.46,11.8,629,31,3,11,,19.82077545791774,79.62065546683733
36.2,84.9,42.2,72.0,30.9,23.4,1.98,3.5,619,30,3,6,,23.725105589035408,76.20046525364471
27.0,50.4,17.4,30.2,19.1,10.5,1.68,5.6,490,18,3,2,,25.105980863190577,81.64498388370278
26.2,47.6,16.4,20.2,24.0,9.9,0.85,11.5,506,33,2,14,,20.54009747602863,78.23502504549603
24.5,93.6,22.3,31.7,22.4,11.6,1.81,8.3,585,35,0,11,,20.005131763194232,81.79950757558467
28.7,64.6,12.1,17.6,14.2,6.2,1.04,11.1,600,40,4,5,,16.898737549105988,80.2231975745253
24.9,64.4,10.9,15.2,14.0,4.4,1.12,10.5,354,40,1,9,,21.86520711949833,82.48013278359701
38.3,99.0,8.2,27.2,24.9,13.9,2.69,3.8,808,16,2,6,,19.542528756778996,74.24723470429583
25.9,64.2,1.5,10.3,23.6,-0.4,0.93,11.5,386,20,2,7,,24.40241803168457,83.09700798412382
22.8,65.1,3.1,10.6,11.1,4.9,0.88,12.0,500,35,1,13,,22.153959286295738,78.77254734150875
32.5,75.1,24.9,36.0,25.8,6.3,1.69,6.4,516,35,2,0,,25.35472049932175,83.53612857969948
25.1,59.5,6.0,11.3,25.8,0.7,0.9,10.7,231,35,6,4,,16.104125161640212,83.75540722585993
32.9,49.6,24.0,28.5,22.0,8.8,1.64,5.3,518,68,0,6,,20.60995133785321,74.229311197685
28.0,80.2,27.7,28.8,34.3,12.3,1.55,6.2,631,35,4,7,,19.796225087779654,79.79639408036007
26.1,48.5,5.3,10.5,18.4,5.0,0.99,10.4,547,41,2,1,,15.975722081778198,83.25942910770787
28.0,90.3,35.4,58.2,41.2,7.9,2.06,5.1,662,39,1,9,,24.18346956770482,81.50494080116823
37.8,79.1,63.0,85.1,52.6,20.1,2.6,6.5,778,36,2,1,,23.699214685777065,78.60504859387237
31.6,102.7,80.5,96.9,35.0,1.7,2.0,4.4,630,26,4,1,,23.93959455530791,74.82397922618561
30.4,63.8,12.2,22.1,31.3,15.5,1.7,5.0,389,37,1,4,,19.86806445393321,78.02317259350933
25.5,38.3,3.6,8.8,19.1,6.6,1.05,17.8,379,22,2,13,,22.852587968134067,81.33293626242322
36.6,78.5,6.0,25.9,45.5,17.8,1.58,4.0,470,27,2,16,,23.86273854095265,75.73670390989561
29.8,60.2,10.7,19.8,24.9,12.4,2.0,6.4,472,25,5,7,,17.40451805303965,79.78493255243572
33.7,96.3,70.8,87.3,32.9,17.0,2.33,4.8,557,30,1,5,,17.843107645708123,73.99166442192063
26.2,62.0,79.2,86.0,31.4,7.6,1.46,5.9,615,53,0,6,,24.667622646574756,80.7074715713436
27.6,61.5,0.0,4.5,25.1,4.3,1.07,11.0,536,11,2,7,,20.45223773552233,78.02422886445116
30.8,60.3,1.1,3.6,21.2,5.1,0.96,11.4,470,36,1,11,,16.69291499028619,82.00587323565478
23.7,51.7,19.1,22.2,24.0,7.0,1.07,10.6,371,13,0,1,,18.18506374554089,83.13589087961213
43.1,75.5,6.4,14.2,38.8,11.0,2.24,9.0,644,25,1,10,,17.620625028020246,79.06780116764861
29.1,61.2,12.1,18.5,17.5,5.1,2.03,9.3,502,40,1,0,,18.166330878538318,76.44366371874955
28.4,48.0,11.1,17.7,15.1,7.6,1.06,16.4,334,30,2,4,,20.5933591802268,78.84554060608728
34.5,86.1,9.0,21.6,39.1,7.5,1.79,5.2,450,19,2,5,,18.43233421846811,74.41176255535504
20.4,52.8,11.7,16.7,24.4,2.3,1.05,10.1,430,22,2,7,,15.994610553964034,78.25257875685188
30.9,92.2,10.7,19.0,38.1,9.6,2.55,4.8,429,36,0,5,,24.544720141421656,76.43545435588149
23.4,54.7,10.2,12.8,11.4,4.5,1.13,10.9,362,22,3,6,,17.828578664697556,75.86894474439679
28.8,76.6,124.1,135.5,32.0,10.0,2.02,5.0,566,32,1,6,,21.83668985068762,83.29215107303501
36.4,80.3,103.0,106.4,26.5,22.3,2.38,3.7,844,30,1,0,,17.977246140477472,81.93449871955623
29.8,75.8,1.1,19.5,29.7,4.0,1.78,6.3,402,23,3,8,,16.371668907727827,75.2458449276358
24.2,55.9,8.4,10.9,17.2,7.2,0.96,14.8,497,51,1,9,,21.212547398147905,74.53777598810235
32.1,54.6,3.8,13.6,28.1,20.3,1.54,5.2,701,36,0,11,,20.74659091753859,80.57587447660909
31.6,97.6,85.9,101.9,45.0,25.8,1.82,7.4,804,9,1,13,,16.1486671262035,76.80163462868825
23.3,42.6,7.4,10.6,23.7,5.2,1.14,13.4,292,31,2,7,,23.393283728506667,78.40555474108562
26.7,100.1,3.9,18.1,30.7,15.5,1.62,3.7,457,23,2,11,,21.345738309521295,83.50132761605296
31.3,100.3,7.0,26.4,30.4,20.2,2.19,4.2,770,38,1,6,,24.508129642170005,82.50227513418861
29.6,83.0,4.0,14.1,22.2,3.2,1.05,11.9,225,22,1,0,,16.146086803262357,83.16074290071597
25.3,83.3,33.9,44.0,35.9,9.1,1.41,6.2,488,28,4,9,,20.00275522541994,77.27043957352993
